date,Appliances
2016-02-0606:40:00,50
2016-02-0606:50:00,40
2016-02-0607:00:00,50
2016-02-0607:10:00,50
2016-02-0607:20:00,60
2016-02-0607:30:00,40
2016-02-0607:40:00,50
2016-02-0607:50:00,40
2016-02-0608:00:00,40
2016-02-0608:10:00,40
2016-02-0608:20:00,40
2016-02-0608:30:00,50
2016-02-0608:40:00,50
2016-02-0608:50:00,50
2016-02-0609:00:00,50
2016-02-0609:10:00,60
2016-02-0609:20:00,20
2016-02-0609:30:00,20
2016-02-0609:40:00,30
2016-02-0609:50:00,40
2016-02-0610:00:00,50
2016-02-0610:10:00,60
2016-02-0610:20:00,60
2016-02-0610:30:00,60
2016-02-0610:40:00,60
2016-02-0610:50:00,40
2016-02-0611:00:00,50
2016-02-0611:10:00,40
2016-02-0611:20:00,50
2016-02-0611:30:00,60
2016-02-0611:40:00,60
2016-02-0611:50:00,70
2016-02-0612:00:00,70
2016-02-0612:10:00,70
2016-02-0612:20:00,90
2016-02-0612:30:00,80
2016-02-0612:40:00,80
2016-02-0612:50:00,70
2016-02-0613:00:00,60
2016-02-0613:10:00,70
2016-02-0613:20:00,70
2016-02-0613:30:00,70
2016-02-0613:40:00,50
2016-02-0613:50:00,50
2016-02-0614:00:00,50
2016-02-0614:10:00,50
2016-02-0614:20:00,60
2016-02-0614:30:00,60
2016-02-0614:40:00,80
2016-02-0614:50:00,70
2016-02-0615:00:00,70
2016-02-0615:10:00,70
2016-02-0615:20:00,60
2016-02-0615:30:00,190
2016-02-0615:40:00,340
2016-02-0615:50:00,360
2016-02-0616:00:00,140
2016-02-0616:10:00,70
2016-02-0616:20:00,160
2016-02-0616:30:00,420
2016-02-0616:40:00,230
2016-02-0616:50:00,440
2016-02-0617:00:00,240
2016-02-0617:10:00,460
2016-02-0617:20:00,90
2016-02-0617:30:00,240
2016-02-0617:40:00,250
2016-02-0617:50:00,90
2016-02-0618:00:00,80
2016-02-0618:10:00,90
2016-02-0618:20:00,80
2016-02-0618:30:00,370
2016-02-0618:40:00,270
2016-02-0618:50:00,70
2016-02-0619:00:00,90
2016-02-0619:10:00,100
2016-02-0619:20:00,90
2016-02-0619:30:00,110
2016-02-0619:40:00,100
2016-02-0619:50:00,90
2016-02-0620:00:00,90
2016-02-0620:10:00,100
2016-02-0620:20:00,90
2016-02-0620:30:00,100
2016-02-0620:40:00,100
2016-02-0620:50:00,90
2016-02-0621:00:00,90
2016-02-0621:10:00,90
2016-02-0621:20:00,90
2016-02-0621:30:00,110
2016-02-0621:40:00,80
2016-02-0621:50:00,100
2016-02-0622:00:00,90
2016-02-0622:10:00,90
2016-02-0622:20:00,80
2016-02-0622:30:00,70
2016-02-0622:40:00,70
2016-02-0622:50:00,70
2016-02-0623:00:00,70
2016-02-0623:10:00,80
2016-02-0623:20:00,80
2016-02-0623:30:00,80
2016-02-0623:40:00,60
2016-02-0623:50:00,30
2016-02-0700:00:00,20
2016-02-0700:10:00,20
2016-02-0700:20:00,40
2016-02-0700:30:00,50
2016-02-0700:40:00,50
2016-02-0700:50:00,50
2016-02-0701:00:00,50
2016-02-0701:10:00,50
2016-02-0701:20:00,40
2016-02-0701:30:00,40
2016-02-0701:40:00,40
2016-02-0701:50:00,40
2016-02-0702:00:00,40
2016-02-0702:10:00,50
2016-02-0702:20:00,40
2016-02-0702:30:00,50
2016-02-0702:40:00,50
2016-02-0702:50:00,40
2016-02-0703:00:00,40
2016-02-0703:10:00,40
2016-02-0703:20:00,40
2016-02-0703:30:00,40
2016-02-0703:40:00,50
2016-02-0703:50:00,50
2016-02-0704:00:00,50
2016-02-0704:10:00,50
2016-02-0704:20:00,40
2016-02-0704:30:00,50
2016-02-0704:40:00,40
2016-02-0704:50:00,40
2016-02-0705:00:00,40
2016-02-0705:10:00,50
2016-02-0705:20:00,50
2016-02-0705:30:00,50
2016-02-0705:40:00,30
2016-02-0705:50:00,30
2016-02-0706:00:00,20
2016-02-0706:10:00,20
2016-02-0706:20:00,40
2016-02-0706:30:00,40
2016-02-0706:40:00,50
2016-02-0706:50:00,50
2016-02-0707:00:00,50
2016-02-0707:10:00,50
2016-02-0707:20:00,40
2016-02-0707:30:00,40
2016-02-0707:40:00,50
2016-02-0707:50:00,40
2016-02-0708:00:00,40
2016-02-0708:10:00,50
2016-02-0708:20:00,40
2016-02-0708:30:00,80
2016-02-0708:40:00,50
2016-02-0708:50:00,40
2016-02-0709:00:00,40
2016-02-0709:10:00,80
2016-02-0709:20:00,60
2016-02-0709:30:00,40
2016-02-0709:40:00,50
2016-02-0709:50:00,50
2016-02-0710:00:00,30
2016-02-0710:10:00,30
2016-02-0710:20:00,20
2016-02-0710:30:00,20
2016-02-0710:40:00,40
2016-02-0710:50:00,40
2016-02-0711:00:00,60
2016-02-0711:10:00,50
2016-02-0711:20:00,60
2016-02-0711:30:00,50
2016-02-0711:40:00,40
2016-02-0711:50:00,100
2016-02-0712:00:00,130
2016-02-0712:10:00,40
2016-02-0712:20:00,40
2016-02-0712:30:00,50
2016-02-0712:40:00,50
2016-02-0712:50:00,50
2016-02-0713:00:00,40
2016-02-0713:10:00,50
2016-02-0713:20:00,40
2016-02-0713:30:00,60
2016-02-0713:40:00,140
2016-02-0713:50:00,60
2016-02-0714:00:00,50
2016-02-0714:10:00,50
2016-02-0714:20:00,30
2016-02-0714:30:00,50
2016-02-0714:40:00,40
2016-02-0714:50:00,40
2016-02-0715:00:00,70
2016-02-0715:10:00,90
2016-02-0715:20:00,70
2016-02-0715:30:00,80
2016-02-0715:40:00,70
2016-02-0715:50:00,90
2016-02-0716:00:00,90
2016-02-0716:10:00,80
2016-02-0716:20:00,70
2016-02-0716:30:00,90
2016-02-0716:40:00,100
2016-02-0716:50:00,100
2016-02-0717:00:00,100
2016-02-0717:10:00,110
2016-02-0717:20:00,120
2016-02-0717:30:00,250
2016-02-0717:40:00,160
2016-02-0717:50:00,80
2016-02-0718:00:00,60
2016-02-0718:10:00,60
2016-02-0718:20:00,70
2016-02-0718:30:00,390
2016-02-0718:40:00,350
2016-02-0718:50:00,270
2016-02-0719:00:00,260
2016-02-0719:10:00,180
2016-02-0719:20:00,100
2016-02-0719:30:00,280
2016-02-0719:40:00,260
2016-02-0719:50:00,280
2016-02-0720:00:00,100
2016-02-0720:10:00,260
2016-02-0720:20:00,190
2016-02-0720:30:00,100
2016-02-0720:40:00,100
2016-02-0720:50:00,90
2016-02-0721:00:00,140
2016-02-0721:10:00,430
2016-02-0721:20:00,250
2016-02-0721:30:00,90
2016-02-0721:40:00,100
2016-02-0721:50:00,90
2016-02-0722:00:00,90
2016-02-0722:10:00,90
2016-02-0722:20:00,70
2016-02-0722:30:00,60
2016-02-0722:40:00,60
2016-02-0722:50:00,60
2016-02-0723:00:00,60
2016-02-0723:10:00,70
2016-02-0723:20:00,80
2016-02-0723:30:00,90
2016-02-0723:40:00,90
2016-02-0723:50:00,90
2016-02-0800:00:00,80
2016-02-0800:10:00,50
2016-02-0800:20:00,20
2016-02-0800:30:00,40
2016-02-0800:40:00,40
2016-02-0800:50:00,50
2016-02-0801:00:00,50
2016-02-0801:10:00,50
2016-02-0801:20:00,40
2016-02-0801:30:00,50
2016-02-0801:40:00,40
2016-02-0801:50:00,50
2016-02-0802:00:00,50
2016-02-0802:10:00,50
2016-02-0802:20:00,50
2016-02-0802:30:00,40
2016-02-0802:40:00,40
2016-02-0802:50:00,40
2016-02-0803:00:00,40
2016-02-0803:10:00,50
2016-02-0803:20:00,50
2016-02-0803:30:00,50
2016-02-0803:40:00,50
2016-02-0803:50:00,40
2016-02-0804:00:00,40
2016-02-0804:10:00,50
2016-02-0804:20:00,40
2016-02-0804:30:00,40
2016-02-0804:40:00,50
2016-02-0804:50:00,50
2016-02-0805:00:00,50
2016-02-0805:10:00,50
2016-02-0805:20:00,40
2016-02-0805:30:00,20
2016-02-0805:40:00,30
2016-02-0805:50:00,20
2016-02-0806:00:00,40
2016-02-0806:10:00,40
2016-02-0806:20:00,50
2016-02-0806:30:00,50
2016-02-0806:40:00,60
2016-02-0806:50:00,50
2016-02-0807:00:00,40
2016-02-0807:10:00,40
2016-02-0807:20:00,40
2016-02-0807:30:00,50
2016-02-0807:40:00,40
2016-02-0807:50:00,60
2016-02-0808:00:00,80
2016-02-0808:10:00,70
2016-02-0808:20:00,90
2016-02-0808:30:00,70
2016-02-0808:40:00,60
2016-02-0808:50:00,60
2016-02-0809:00:00,60
2016-02-0809:10:00,60
2016-02-0809:20:00,60
2016-02-0809:30:00,300
2016-02-0809:40:00,360
2016-02-0809:50:00,160
2016-02-0810:00:00,110
2016-02-0810:10:00,80
2016-02-0810:20:00,80
2016-02-0810:30:00,70
2016-02-0810:40:00,80
2016-02-0810:50:00,100
2016-02-0811:00:00,160
2016-02-0811:10:00,710
2016-02-0811:20:00,660
2016-02-0811:30:00,300
2016-02-0811:40:00,300
2016-02-0811:50:00,290
2016-02-0812:00:00,250
2016-02-0812:10:00,300
2016-02-0812:20:00,370
2016-02-0812:30:00,190
2016-02-0812:40:00,110
2016-02-0812:50:00,80
2016-02-0813:00:00,90
2016-02-0813:10:00,90
2016-02-0813:20:00,350
2016-02-0813:30:00,750
2016-02-0813:40:00,520
2016-02-0813:50:00,350
2016-02-0814:00:00,290
2016-02-0814:10:00,260
2016-02-0814:20:00,230
2016-02-0814:30:00,200
2016-02-0814:40:00,80
2016-02-0814:50:00,120
2016-02-0815:00:00,220
2016-02-0815:10:00,700
2016-02-0815:20:00,610
2016-02-0815:30:00,370
2016-02-0815:40:00,280
2016-02-0815:50:00,280
2016-02-0816:00:00,280
2016-02-0816:10:00,260
2016-02-0816:20:00,140
2016-02-0816:30:00,140
2016-02-0816:40:00,100
2016-02-0816:50:00,120
2016-02-0817:00:00,120
2016-02-0817:10:00,100
2016-02-0817:20:00,150
2016-02-0817:30:00,480
2016-02-0817:40:00,320
2016-02-0817:50:00,300
2016-02-0818:00:00,280
2016-02-0818:10:00,390
2016-02-0818:20:00,480
2016-02-0818:30:00,460
2016-02-0818:40:00,380
2016-02-0818:50:00,370
2016-02-0819:00:00,420
2016-02-0819:10:00,100
2016-02-0819:20:00,90
2016-02-0819:30:00,90
2016-02-0819:40:00,90
2016-02-0819:50:00,80
2016-02-0820:00:00,90
2016-02-0820:10:00,150
2016-02-0820:20:00,100
2016-02-0820:30:00,100
2016-02-0820:40:00,90
2016-02-0820:50:00,80
2016-02-0821:00:00,100
2016-02-0821:10:00,90
2016-02-0821:20:00,90
2016-02-0821:30:00,70
2016-02-0821:40:00,90
2016-02-0821:50:00,70
2016-02-0822:00:00,90
2016-02-0822:10:00,70
2016-02-0822:20:00,60
2016-02-0822:30:00,70
2016-02-0822:40:00,60
2016-02-0822:50:00,60
2016-02-0823:00:00,60
2016-02-0823:10:00,50
2016-02-0823:20:00,60
2016-02-0823:30:00,60
2016-02-0823:40:00,60
2016-02-0823:50:00,50
2016-02-0900:00:00,50
2016-02-0900:10:00,50
2016-02-0900:20:00,50
2016-02-0900:30:00,40
2016-02-0900:40:00,50
2016-02-0900:50:00,40
2016-02-0901:00:00,40
2016-02-0901:10:00,60
2016-02-0901:20:00,50
2016-02-0901:30:00,50
2016-02-0901:40:00,50
2016-02-0901:50:00,40
2016-02-0902:00:00,40
2016-02-0902:10:00,50
2016-02-0902:20:00,40
2016-02-0902:30:00,50
2016-02-0902:40:00,40
2016-02-0902:50:00,30
2016-02-0903:00:00,30
2016-02-0903:10:00,30
2016-02-0903:20:00,30
2016-02-0903:30:00,50
2016-02-0903:40:00,40
2016-02-0903:50:00,40
2016-02-0904:00:00,50
2016-02-0904:10:00,40
2016-02-0904:20:00,50
2016-02-0904:30:00,40
2016-02-0904:40:00,50
2016-02-0904:50:00,50
2016-02-0905:00:00,40
2016-02-0905:10:00,50
2016-02-0905:20:00,50
2016-02-0905:30:00,40
2016-02-0905:40:00,40
2016-02-0905:50:00,50
2016-02-0906:00:00,50
2016-02-0906:10:00,50
2016-02-0906:20:00,50
2016-02-0906:30:00,40
2016-02-0906:40:00,50
2016-02-0906:50:00,40
2016-02-0907:00:00,50
2016-02-0907:10:00,40
2016-02-0907:20:00,40
2016-02-0907:30:00,50
2016-02-0907:40:00,70
2016-02-0907:50:00,60
2016-02-0908:00:00,50
2016-02-0908:10:00,50
2016-02-0908:20:00,40
2016-02-0908:30:00,40
2016-02-0908:40:00,40
2016-02-0908:50:00,70
2016-02-0909:00:00,70
2016-02-0909:10:00,360
2016-02-0909:20:00,190
2016-02-0909:30:00,150
2016-02-0909:40:00,120
2016-02-0909:50:00,80
2016-02-0910:00:00,60
2016-02-0910:10:00,180
2016-02-0910:20:00,180
2016-02-0910:30:00,480
2016-02-0910:40:00,530
2016-02-0910:50:00,220
2016-02-0911:00:00,120
2016-02-0911:10:00,110
2016-02-0911:20:00,100
2016-02-0911:30:00,110
2016-02-0911:40:00,100
2016-02-0911:50:00,130
2016-02-0912:00:00,170
2016-02-0912:10:00,560
2016-02-0912:20:00,430
2016-02-0912:30:00,360
2016-02-0912:40:00,350
2016-02-0912:50:00,330
2016-02-0913:00:00,280
2016-02-0913:10:00,220
2016-02-0913:20:00,150
2016-02-0913:30:00,120
2016-02-0913:40:00,120
2016-02-0913:50:00,140
2016-02-0914:00:00,120
2016-02-0914:10:00,130
2016-02-0914:20:00,130
2016-02-0914:30:00,130
2016-02-0914:40:00,130
2016-02-0914:50:00,120
2016-02-0915:00:00,160
2016-02-0915:10:00,240
2016-02-0915:20:00,220
2016-02-0915:30:00,200
2016-02-0915:40:00,210
2016-02-0915:50:00,160
2016-02-0916:00:00,110
2016-02-0916:10:00,100
2016-02-0916:20:00,110
2016-02-0916:30:00,110
2016-02-0916:40:00,120
2016-02-0916:50:00,120
2016-02-0917:00:00,120
2016-02-0917:10:00,130
2016-02-0917:20:00,140
2016-02-0917:30:00,130
2016-02-0917:40:00,120
2016-02-0917:50:00,120
2016-02-0918:00:00,130
2016-02-0918:10:00,120
2016-02-0918:20:00,120
2016-02-0918:30:00,140
2016-02-0918:40:00,120
2016-02-0918:50:00,270
2016-02-0919:00:00,650
2016-02-0919:10:00,690
2016-02-0919:20:00,340
2016-02-0919:30:00,100
2016-02-0919:40:00,120
2016-02-0919:50:00,140
2016-02-0920:00:00,150
2016-02-0920:10:00,150
2016-02-0920:20:00,160
2016-02-0920:30:00,140
2016-02-0920:40:00,150
2016-02-0920:50:00,150
2016-02-0921:00:00,140
2016-02-0921:10:00,150
2016-02-0921:20:00,130
2016-02-0921:30:00,130
2016-02-0921:40:00,130
2016-02-0921:50:00,130
2016-02-0922:00:00,140
2016-02-0922:10:00,130
2016-02-0922:20:00,130
2016-02-0922:30:00,100
2016-02-0922:40:00,90
2016-02-0922:50:00,80
2016-02-0923:00:00,70
2016-02-0923:10:00,60
2016-02-0923:20:00,70
2016-02-0923:30:00,70
2016-02-0923:40:00,80
2016-02-0923:50:00,70
2016-02-1000:00:00,70
2016-02-1000:10:00,70
2016-02-1000:20:00,70
2016-02-1000:30:00,80
2016-02-1000:40:00,60
2016-02-1000:50:00,70
2016-02-1001:00:00,70
2016-02-1001:10:00,80
2016-02-1001:20:00,70
2016-02-1001:30:00,70
2016-02-1001:40:00,70
2016-02-1001:50:00,70
2016-02-1002:00:00,60
2016-02-1002:10:00,70
2016-02-1002:20:00,60
2016-02-1002:30:00,70
2016-02-1002:40:00,80
2016-02-1002:50:00,60
2016-02-1003:00:00,80
2016-02-1003:10:00,70
2016-02-1003:20:00,60
2016-02-1003:30:00,70
2016-02-1003:40:00,60
2016-02-1003:50:00,70
2016-02-1004:00:00,60
2016-02-1004:10:00,70
2016-02-1004:20:00,70
2016-02-1004:30:00,70
2016-02-1004:40:00,70
2016-02-1004:50:00,60
2016-02-1005:00:00,60
2016-02-1005:10:00,70
2016-02-1005:20:00,60
2016-02-1005:30:00,60
2016-02-1005:40:00,70
2016-02-1005:50:00,70
2016-02-1006:00:00,70
2016-02-1006:10:00,70
2016-02-1006:20:00,70
2016-02-1006:30:00,70
2016-02-1006:40:00,60
2016-02-1006:50:00,70
2016-02-1007:00:00,60
2016-02-1007:10:00,60
2016-02-1007:20:00,50
2016-02-1007:30:00,60
2016-02-1007:40:00,50
2016-02-1007:50:00,60
2016-02-1008:00:00,70
2016-02-1008:10:00,60
2016-02-1008:20:00,100
2016-02-1008:30:00,80
2016-02-1008:40:00,100
2016-02-1008:50:00,120
2016-02-1009:00:00,110
2016-02-1009:10:00,90
2016-02-1009:20:00,80
2016-02-1009:30:00,90
2016-02-1009:40:00,80
2016-02-1009:50:00,80
2016-02-1010:00:00,80
2016-02-1010:10:00,70
2016-02-1010:20:00,80
2016-02-1010:30:00,90
2016-02-1010:40:00,90
2016-02-1010:50:00,150
2016-02-1011:00:00,150
2016-02-1011:10:00,80
2016-02-1011:20:00,70
2016-02-1011:30:00,110
2016-02-1011:40:00,110
2016-02-1011:50:00,90
2016-02-1012:00:00,80
2016-02-1012:10:00,80
2016-02-1012:20:00,80
2016-02-1012:30:00,70
2016-02-1012:40:00,140
2016-02-1012:50:00,70
2016-02-1013:00:00,50
2016-02-1013:10:00,70
2016-02-1013:20:00,60
2016-02-1013:30:00,70
2016-02-1013:40:00,70
2016-02-1013:50:00,60
2016-02-1014:00:00,80
2016-02-1014:10:00,70
2016-02-1014:20:00,60
2016-02-1014:30:00,70
2016-02-1014:40:00,80
2016-02-1014:50:00,120
2016-02-1015:00:00,110
2016-02-1015:10:00,120
2016-02-1015:20:00,110
2016-02-1015:30:00,110
2016-02-1015:40:00,100
2016-02-1015:50:00,110
2016-02-1016:00:00,90
2016-02-1016:10:00,100
2016-02-1016:20:00,110
2016-02-1016:30:00,110
2016-02-1016:40:00,100
2016-02-1016:50:00,80
2016-02-1017:00:00,80
2016-02-1017:10:00,80
2016-02-1017:20:00,80
2016-02-1017:30:00,90
2016-02-1017:40:00,80
2016-02-1017:50:00,70
2016-02-1018:00:00,90
2016-02-1018:10:00,120
2016-02-1018:20:00,360
2016-02-1018:30:00,530
2016-02-1018:40:00,620
2016-02-1018:50:00,230
2016-02-1019:00:00,100
2016-02-1019:10:00,100
2016-02-1019:20:00,120
2016-02-1019:30:00,140
2016-02-1019:40:00,100
2016-02-1019:50:00,110
2016-02-1020:00:00,110
2016-02-1020:10:00,140
2016-02-1020:20:00,130
2016-02-1020:30:00,140
2016-02-1020:40:00,150
2016-02-1020:50:00,230
2016-02-1021:00:00,130
2016-02-1021:10:00,130
2016-02-1021:20:00,120
2016-02-1021:30:00,130
2016-02-1021:40:00,110
2016-02-1021:50:00,130
2016-02-1022:00:00,140
2016-02-1022:10:00,150
2016-02-1022:20:00,120
2016-02-1022:30:00,70
2016-02-1022:40:00,80
2016-02-1022:50:00,80
2016-02-1023:00:00,70
2016-02-1023:10:00,70
2016-02-1023:20:00,70
2016-02-1023:30:00,70
2016-02-1023:40:00,80
2016-02-1023:50:00,70
2016-02-1100:00:00,60
2016-02-1100:10:00,70
2016-02-1100:20:00,50
2016-02-1100:30:00,30
2016-02-1100:40:00,40
2016-02-1100:50:00,20
2016-02-1101:00:00,60
2016-02-1101:10:00,60
2016-02-1101:20:00,50
2016-02-1101:30:00,50
2016-02-1101:40:00,50
2016-02-1101:50:00,50
2016-02-1102:00:00,50
2016-02-1102:10:00,50
2016-02-1102:20:00,50
2016-02-1102:30:00,60
2016-02-1102:40:00,60
2016-02-1102:50:00,50
2016-02-1103:00:00,60
2016-02-1103:10:00,40
2016-02-1103:20:00,50
2016-02-1103:30:00,50
2016-02-1103:40:00,30
2016-02-1103:50:00,30
2016-02-1104:00:00,40
2016-02-1104:10:00,40
2016-02-1104:20:00,50
2016-02-1104:30:00,50
2016-02-1104:40:00,50
2016-02-1104:50:00,50
2016-02-1105:00:00,40
2016-02-1105:10:00,50
2016-02-1105:20:00,50
2016-02-1105:30:00,50
2016-02-1105:40:00,60
2016-02-1105:50:00,50
2016-02-1106:00:00,40
2016-02-1106:10:00,50
2016-02-1106:20:00,50
2016-02-1106:30:00,50
2016-02-1106:40:00,50
2016-02-1106:50:00,40
2016-02-1107:00:00,30
2016-02-1107:10:00,40
2016-02-1107:20:00,40
2016-02-1107:30:00,60
2016-02-1107:40:00,50
2016-02-1107:50:00,50
2016-02-1108:00:00,50
2016-02-1108:10:00,70
2016-02-1108:20:00,60
2016-02-1108:30:00,60
2016-02-1108:40:00,60
2016-02-1108:50:00,410
2016-02-1109:00:00,70
2016-02-1109:10:00,70
2016-02-1109:20:00,60
2016-02-1109:30:00,100
2016-02-1109:40:00,70
2016-02-1109:50:00,70
2016-02-1110:00:00,80
2016-02-1110:10:00,70
2016-02-1110:20:00,60
2016-02-1110:30:00,50
2016-02-1110:40:00,50
2016-02-1110:50:00,300
2016-02-1111:00:00,440
2016-02-1111:10:00,190
2016-02-1111:20:00,100
2016-02-1111:30:00,90
2016-02-1111:40:00,100
2016-02-1111:50:00,100
2016-02-1112:00:00,90
2016-02-1112:10:00,100
2016-02-1112:20:00,110
2016-02-1112:30:00,160
2016-02-1112:40:00,160
2016-02-1112:50:00,110
2016-02-1113:00:00,90
2016-02-1113:10:00,80
2016-02-1113:20:00,60
2016-02-1113:30:00,70
2016-02-1113:40:00,80
2016-02-1113:50:00,120
2016-02-1114:00:00,120
2016-02-1114:10:00,120
2016-02-1114:20:00,110
2016-02-1114:30:00,100
2016-02-1114:40:00,90
2016-02-1114:50:00,100
2016-02-1115:00:00,200
2016-02-1115:10:00,210
2016-02-1115:20:00,110
2016-02-1115:30:00,120
2016-02-1115:40:00,110
2016-02-1115:50:00,110
2016-02-1116:00:00,100
2016-02-1116:10:00,120
2016-02-1116:20:00,110
2016-02-1116:30:00,110
2016-02-1116:40:00,110
2016-02-1116:50:00,100
2016-02-1117:00:00,130
2016-02-1117:10:00,120
2016-02-1117:20:00,110
2016-02-1117:30:00,100
2016-02-1117:40:00,100
2016-02-1117:50:00,380
2016-02-1118:00:00,350
2016-02-1118:10:00,290
2016-02-1118:20:00,390
2016-02-1118:30:00,690
2016-02-1118:40:00,270
2016-02-1118:50:00,750
2016-02-1119:00:00,130
2016-02-1119:10:00,120
2016-02-1119:20:00,120
2016-02-1119:30:00,130
2016-02-1119:40:00,130
2016-02-1119:50:00,130
2016-02-1120:00:00,120
2016-02-1120:10:00,120
2016-02-1120:20:00,130
2016-02-1120:30:00,120
2016-02-1120:40:00,130
2016-02-1120:50:00,130
2016-02-1121:00:00,140
2016-02-1121:10:00,130
2016-02-1121:20:00,140
2016-02-1121:30:00,120
2016-02-1121:40:00,120
2016-02-1121:50:00,140
2016-02-1122:00:00,130
2016-02-1122:10:00,120
2016-02-1122:20:00,90
2016-02-1122:30:00,40
2016-02-1122:40:00,70
2016-02-1122:50:00,60
2016-02-1123:00:00,60
2016-02-1123:10:00,50
2016-02-1123:20:00,60
2016-02-1123:30:00,60
2016-02-1123:40:00,60
2016-02-1123:50:00,60
2016-02-1200:00:00,70
2016-02-1200:10:00,90
2016-02-1200:20:00,80
2016-02-1200:30:00,60
2016-02-1200:40:00,60
2016-02-1200:50:00,40
2016-02-1201:00:00,50
2016-02-1201:10:00,50
2016-02-1201:20:00,50
2016-02-1201:30:00,40
2016-02-1201:40:00,40
2016-02-1201:50:00,30
2016-02-1202:00:00,50
2016-02-1202:10:00,50
2016-02-1202:20:00,60
2016-02-1202:30:00,50
2016-02-1202:40:00,50
2016-02-1202:50:00,70
2016-02-1203:00:00,50
2016-02-1203:10:00,60
2016-02-1203:20:00,60
2016-02-1203:30:00,50
2016-02-1203:40:00,60
2016-02-1203:50:00,50
2016-02-1204:00:00,50
2016-02-1204:10:00,60
2016-02-1204:20:00,60
2016-02-1204:30:00,60
2016-02-1204:40:00,60
2016-02-1204:50:00,50
2016-02-1205:00:00,30
2016-02-1205:10:00,30
2016-02-1205:20:00,20
2016-02-1205:30:00,40
2016-02-1205:40:00,60
2016-02-1205:50:00,60
2016-02-1206:00:00,60
2016-02-1206:10:00,50
2016-02-1206:20:00,50
2016-02-1206:30:00,60
2016-02-1206:40:00,50
2016-02-1206:50:00,50
2016-02-1207:00:00,50
2016-02-1207:10:00,70
2016-02-1207:20:00,90
2016-02-1207:30:00,60
2016-02-1207:40:00,60
2016-02-1207:50:00,70
2016-02-1208:00:00,50
2016-02-1208:10:00,50
2016-02-1208:20:00,50
2016-02-1208:30:00,40
2016-02-1208:40:00,60
2016-02-1208:50:00,40
2016-02-1209:00:00,40
2016-02-1209:10:00,80
2016-02-1209:20:00,330
2016-02-1209:30:00,260
2016-02-1209:40:00,100
2016-02-1209:50:00,70
2016-02-1210:00:00,70
2016-02-1210:10:00,70
2016-02-1210:20:00,80
2016-02-1210:30:00,80
2016-02-1210:40:00,50
2016-02-1210:50:00,60
2016-02-1211:00:00,50
2016-02-1211:10:00,50
2016-02-1211:20:00,60
2016-02-1211:30:00,70
2016-02-1211:40:00,650
2016-02-1211:50:00,680
2016-02-1212:00:00,390
2016-02-1212:10:00,310
2016-02-1212:20:00,300
2016-02-1212:30:00,140
2016-02-1212:40:00,280
2016-02-1212:50:00,140
2016-02-1213:00:00,400
2016-02-1213:10:00,190
2016-02-1213:20:00,220
2016-02-1213:30:00,390
2016-02-1213:40:00,190
2016-02-1213:50:00,480
2016-02-1214:00:00,350
2016-02-1214:10:00,340
2016-02-1214:20:00,530
2016-02-1214:30:00,510
2016-02-1214:40:00,230
2016-02-1214:50:00,110
2016-02-1215:00:00,80
2016-02-1215:10:00,80
2016-02-1215:20:00,80
2016-02-1215:30:00,100
2016-02-1215:40:00,110
2016-02-1215:50:00,120
2016-02-1216:00:00,110
2016-02-1216:10:00,110
2016-02-1216:20:00,100
2016-02-1216:30:00,90
2016-02-1216:40:00,70
2016-02-1216:50:00,70
2016-02-1217:00:00,200
2016-02-1217:10:00,280
2016-02-1217:20:00,180
2016-02-1217:30:00,180
2016-02-1217:40:00,90
2016-02-1217:50:00,90
2016-02-1218:00:00,100
2016-02-1218:10:00,100
2016-02-1218:20:00,130
2016-02-1218:30:00,430
2016-02-1218:40:00,110
2016-02-1218:50:00,110
2016-02-1219:00:00,120
2016-02-1219:10:00,110
2016-02-1219:20:00,110
2016-02-1219:30:00,120
2016-02-1219:40:00,90
2016-02-1219:50:00,100
2016-02-1220:00:00,100
2016-02-1220:10:00,100
2016-02-1220:20:00,100
2016-02-1220:30:00,100
2016-02-1220:40:00,110
2016-02-1220:50:00,100
2016-02-1221:00:00,180
2016-02-1221:10:00,110
2016-02-1221:20:00,90
2016-02-1221:30:00,80
2016-02-1221:40:00,80
2016-02-1221:50:00,80
2016-02-1222:00:00,60
2016-02-1222:10:00,80
2016-02-1222:20:00,70
2016-02-1222:30:00,70
2016-02-1222:40:00,40
2016-02-1222:50:00,50
2016-02-1223:00:00,50
2016-02-1223:10:00,50
2016-02-1223:20:00,60
2016-02-1223:30:00,60
2016-02-1223:40:00,60
2016-02-1223:50:00,60
2016-02-1300:00:00,50
2016-02-1300:10:00,50
2016-02-1300:20:00,60
2016-02-1300:30:00,60
2016-02-1300:40:00,60
2016-02-1300:50:00,100
2016-02-1301:00:00,70
2016-02-1301:10:00,50
2016-02-1301:20:00,50
2016-02-1301:30:00,40
2016-02-1301:40:00,50
2016-02-1301:50:00,60
2016-02-1302:00:00,50
2016-02-1302:10:00,30
2016-02-1302:20:00,40
2016-02-1302:30:00,20
2016-02-1302:40:00,50
2016-02-1302:50:00,50
2016-02-1303:00:00,40
2016-02-1303:10:00,50
2016-02-1303:20:00,50
2016-02-1303:30:00,60
2016-02-1303:40:00,50
2016-02-1303:50:00,60
2016-02-1304:00:00,50
2016-02-1304:10:00,50
2016-02-1304:20:00,50
2016-02-1304:30:00,50
2016-02-1304:40:00,40
2016-02-1304:50:00,50
2016-02-1305:00:00,50
